codigo_mesa,departamento,provincia,distrito,participacion_pct,electores_habiles,votos_emitidos,total_validos,winner_party,winner_votes,winner_share_pct,winner_margin_pct,suspicious_party,suspicious_party_share_pct,suspicious_party_z,baseline_mean_share_pct,baseline_source,estimated_excess_votes,winner_last_digit,score,flag_top_0_2_pct
900726,APURÍMAC,ANDAHUAYLAS,SAN JERÓNIMO,90.08,262,236,186,JUNTOS POR EL PERÚ,150,80.65,74.19,JUNTOS POR EL PERÚ,80.65,3.2879,21.93,distrito,109.21,0,13.0329,True
901455,CAJAMARCA,CUTERVO,QUEROCOTILLO,47.16,299,141,139,JUNTOS POR EL PERÚ,126,90.65,86.33,JUNTOS POR EL PERÚ,90.65,3.3775,59.66,distrito,43.08,6,12.9665,True
900693,APURÍMAC,ANDAHUAYLAS,ANDAHUAYLAS,94.12,255,240,183,JUNTOS POR EL PERÚ,140,76.5,68.31,JUNTOS POR EL PERÚ,76.5,3.0866,32.43,distrito,80.66,0,12.885,True
903403,LORETO,DATEM DEL MARAÑÓN,CAHUAPANAS,73.83,214,158,123,JUNTOS POR EL PERÚ,119,96.75,95.93,JUNTOS POR EL PERÚ,96.75,1.5421,74.64,distrito,27.19,9,12.8541,True
903708,PIURA,PIURA,CATACAOS,85.32,252,215,164,JUNTOS POR EL PERÚ,121,73.78,66.46,JUNTOS POR EL PERÚ,73.78,7.0144,8.1,distrito,107.72,1,12.7383,True
901555,CAJAMARCA,SAN IGNACIO,HUARANGO,68.46,298,204,165,JUNTOS POR EL PERÚ,144,87.27,84.85,JUNTOS POR EL PERÚ,87.27,3.6354,52.56,distrito,57.27,4,12.6544,True
902178,HUANCAVELICA,CHURCAMPA,CHINCHIHUASI,72.14,201,145,115,JUNTOS POR EL PERÚ,101,87.83,86.09,JUNTOS POR EL PERÚ,87.83,3.2789,46.25,provincia,47.81,1,12.6409,True
900763,APURÍMAC,CHINCHEROS,EL PORVENIR,80.08,241,193,154,JUNTOS POR EL PERÚ,105,68.18,63.64,JUNTOS POR EL PERÚ,68.18,7.6731,6.02,distrito,95.74,5,12.5344,True
902636,JUNÍN,HUANCAYO,SANTO DOMINGO DE ACOBAMBA,65.56,241,158,112,JUNTOS POR EL PERÚ,83,74.11,66.96,JUNTOS POR EL PERÚ,74.11,6.9129,9.62,provincia,72.22,3,12.4978,True
900948,AYACUCHO,HUAMANGA,VINCHOS,94.07,236,222,155,JUNTOS POR EL PERÚ,124,80.0,71.61,JUNTOS POR EL PERÚ,80.0,2.4367,49.71,distrito,46.95,4,12.4905,True
901190,CAJAMARCA,CELENDÍN,CORTEGANA,67.53,154,104,88,JUNTOS POR EL PERÚ,82,93.18,90.91,JUNTOS POR EL PERÚ,93.18,2.1138,55.62,provincia,33.05,2,12.4775,True
900947,AYACUCHO,HUAMANGA,VINCHOS,94.92,236,224,152,JUNTOS POR EL PERÚ,119,78.29,72.37,JUNTOS POR EL PERÚ,78.29,2.2991,49.71,distrito,43.45,9,12.4271,True
902637,JUNÍN,HUANCAYO,SANTO DOMINGO DE ACOBAMBA,62.5,248,155,107,JUNTOS POR EL PERÚ,78,72.9,67.29,JUNTOS POR EL PERÚ,72.9,6.7832,9.62,provincia,67.71,8,12.3994,True
